ISO,Year,GDP per capita growth (annual %)
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,
AFG,1981,
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,-10.11948411
AFG,2002,22.02019027
AFG,2003,2.345671636
AFG,2004,-2.148212285
AFG,2005,7.383377282
AFG,2006,1.132485055
AFG,2007,11.69230329
AFG,2008,1.677279156
AFG,2009,17.04389632
AFG,2010,11.05503055
AFG,2011,-3.213295006
AFG,2012,8.279368993
AFG,2013,2.052068261
AFG,2014,-0.939984756
AFG,2015,-1.665057447
AFG,2016,-0.300121027
AFG,2017,-0.195569548
AFG,2018,-1.713742693
AFG,2019,0.856294729
AFG,2020,-5.382514642
AFG,2021,-22.58448187
AFG,2022,-7.576668912
AFG,2023,0.106092801
AFG,2024,
AFE,1960,
AFE,1961,-2.132939568
AFE,1962,5.008777477
AFE,1963,2.794385539
AFE,1964,1.829574928
AFE,1965,2.245804973
AFE,1966,1.917421739
AFE,1967,2.418486018
AFE,1968,1.185891947
AFE,1969,2.09868221
AFE,1970,-1.744356728
AFE,1971,2.47783294
AFE,1972,-0.109085829
AFE,1973,1.595522195
AFE,1974,2.384204428
AFE,1975,-1.515703301
AFE,1976,-0.561446154
AFE,1977,-1.700556382
AFE,1978,-1.481102974
AFE,1979,-0.240395345
AFE,1980,2.348425665
AFE,1981,0.846006708
AFE,1982,-2.859268697
AFE,1983,-3.045975957
AFE,1984,0.276256217
AFE,1985,-3.09035236
AFE,1986,-0.744035845
AFE,1987,0.88547125
AFE,1988,1.288819066
AFE,1989,-0.164985161
AFE,1990,-2.65495567
AFE,1991,-2.806080281
AFE,1992,-4.913861835
AFE,1993,-3.314556702
AFE,1994,-0.742939093
AFE,1995,1.61005564
AFE,1996,2.701419997
AFE,1997,1.213707699
AFE,1998,-0.849750123
AFE,1999,-0.008093812
AFE,2000,0.567873189
AFE,2001,0.8604843
AFE,2002,1.161069267
AFE,2003,0.291535064
AFE,2004,2.802862429
AFE,2005,3.377371362
AFE,2006,3.76971707
AFE,2007,3.814874102
AFE,2008,1.56197572
AFE,2009,-1.831565959
AFE,2010,2.369984905
AFE,2011,1.302500423
AFE,2012,-0.936576677
AFE,2013,1.489854297
AFE,2014,1.239381741
AFE,2015,0.262663002
AFE,2016,-0.467420825
AFE,2017,0.018464181
AFE,2018,-0.104064111
AFE,2019,-0.543714732
AFE,2020,-5.447021132
AFE,2021,1.829597322
AFE,2022,0.90533014
AFE,2023,-0.645083898
AFE,2024,0.256613278
AFW,1960,
AFW,1961,-0.251141817
AFW,1962,1.538395941
AFW,1963,4.74144564
AFW,1964,3.087620198
AFW,1965,1.823720215
AFW,1966,-3.703506822
AFW,1967,-11.00581813
AFW,1968,-0.751911406
AFW,1969,12.46264926
AFW,1970,14.61059851
AFW,1971,7.815939198
AFW,1972,0.655532879
AFW,1973,1.363580482
AFW,1974,7.153789726
AFW,1975,-4.663005513
