Country Code,Year,GDP PPP (2021 international constant $)
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,
AFG,1981,
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,32567375970
AFG,2001,29495629513
AFG,2002,37931379899
AFG,2003,41281584746
AFG,2004,41865355064
AFG,2005,46566715049
AFG,2006,49061481754
AFG,2007,55844878996
AFG,2008,58036781460
AFG,2009,70451155677
AFG,2010,80569661677
AFG,2011,80913174278
AFG,2012,91231454558
AFG,2013,96341095376
AFG,2014,98965950295
AFG,2015,1.00402E+11
AFG,2016,1.02672E+11
AFG,2017,1.05389E+11
AFG,2018,1.06643E+11
AFG,2019,1.10814E+11
AFG,2020,1.08209E+11
AFG,2021,85767546198
AFG,2022,80415503801
AFG,2023,82238478028
AFG,2024,
AFE,1960,
AFE,1961,
AFE,1962,
AFE,1963,
AFE,1964,
AFE,1965,
AFE,1966,
AFE,1967,
AFE,1968,
AFE,1969,
AFE,1970,
AFE,1971,
AFE,1972,
AFE,1973,
AFE,1974,
AFE,1975,
AFE,1976,
AFE,1977,
AFE,1978,
AFE,1979,
AFE,1980,
AFE,1981,
AFE,1982,
AFE,1983,
AFE,1984,
AFE,1985,
AFE,1986,
AFE,1987,
AFE,1988,
AFE,1989,
AFE,1990,1.05548E+12
AFE,1991,1.05513E+12
AFE,1992,1.03134E+12
AFE,1993,1.02271E+12
AFE,1994,1.03974E+12
AFE,1995,1.08651E+12
AFE,1996,1.1468E+12
AFE,1997,1.19321E+12
AFE,1998,1.2159E+12
AFE,1999,1.24913E+12
AFE,2000,1.28974E+12
AFE,2001,1.33694E+12
AFE,2002,1.38941E+12
AFE,2003,1.43312E+12
AFE,2004,1.51593E+12
AFE,2005,1.61287E+12
AFE,2006,1.72205E+12
AFE,2007,1.84043E+12
AFE,2008,1.92595E+12
AFE,2009,1.9444E+12
AFE,2010,2.0484E+12
AFE,2011,2.13703E+12
AFE,2012,2.19949E+12
AFE,2013,2.2952E+12
AFE,2014,2.39462E+12
AFE,2015,2.47412E+12
AFE,2016,2.53972E+12
AFE,2017,2.61494E+12
AFE,2018,2.68936E+12
AFE,2019,2.75359E+12
AFE,2020,2.6813E+12
AFE,2021,2.805E+12
AFE,2022,2.90844E+12
AFE,2023,2.9631E+12
AFE,2024,3.0533E+12
AFW,1960,
AFW,1961,
AFW,1962,
AFW,1963,
AFW,1964,
AFW,1965,
AFW,1966,
AFW,1967,
AFW,1968,
AFW,1969,
AFW,1970,
AFW,1971,
AFW,1972,
AFW,1973,
AFW,1974,
AFW,1975,
AFW,1976,
AFW,1977,
AFW,1978,
AFW,1979,
AFW,1980,
AFW,1981,
AFW,1982,
AFW,1983,
AFW,1984,
AFW,1985,
AFW,1986,
AFW,1987,
AFW,1988,
AFW,1989,
AFW,1990,6.96693E+11
AFW,1991,7.0514E+11
AFW,1992,7.19713E+11
AFW,1993,7.11135E+11
AFW,1994,7.1083E+11
