ISO,year,indicator,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper
AFG,1996,cc,-1.29,0.34,2,4.3,0,27.4
ALB,1996,cc,-0.89,0.32,3,19.4,2.7,43
DZA,1996,cc,-0.57,0.26,4,33.3,16.7,52.7
ASM,1996,cc,,,,,,
ADO,1996,cc,1.32,0.48,1,87.1,72,96.8
AGO,1996,cc,-1.17,0.26,4,9.7,0.5,27.4
AIA,1996,cc,,,,,,
ATG,1996,cc,0.87,0.48,1,80.1,59.1,91.4
ARG,1996,cc,-0.1,0.21,6,53.8,38.7,62.9
ARM,1996,cc,-0.47,0.34,2,38.2,15.1,59.1
ABW,1996,cc,,,,,,
AUS,1996,cc,1.88,0.21,6,93.5,90.3,99.5
AUT,1996,cc,1.73,0.21,6,92.5,89.2,96.2
AZE,1996,cc,-1.45,0.28,3,2.7,0,17.2
BHS,1996,cc,1.16,0.42,2,83.9,69.9,93
BHR,1996,cc,0.33,0.31,3,64,50.5,77.4
BGD,1996,cc,-0.97,0.26,4,17.7,2.7,34.9
BRB,1996,cc,1.54,0.34,2,90.9,81.2,96.8
BLR,1996,cc,-0.39,0.34,2,42.5,17.7,60.8
BEL,1996,cc,1.36,0.21,6,88.7,81.2,91.4
BLZ,1996,cc,-0.03,0.48,1,56.5,25.3,76.3
BEN,1996,cc,-0.55,0.34,2,34.9,13.4,57.5
BMU,1996,cc,1.32,0.48,1,87.1,72,96.8
BTN,1996,cc,0.94,0.34,2,81.2,66.1,90.3
BOL,1996,cc,-0.82,0.26,4,25.3,6.5,41.9
BIH,1996,cc,-0.27,0.28,3,48.9,28.5,60.8
BWA,1996,cc,0.82,0.26,4,77.4,66.1,84.9
BRA,1996,cc,-0.02,0.21,6,57,44.1,63.4
BRN,1996,cc,0.48,0.42,2,71.5,49.5,83.9
BGR,1996,cc,-0.36,0.26,4,44.6,25.3,59.1
BFA,1996,cc,0.11,0.32,3,60.2,41.4,73.1
BDI,1996,cc,-0.68,0.34,2,30.6,7,52.7
