Code,Year,population using safely managed drinking water services,population using only basic drinking water services,population using limited drinking water services,population using unimproved drinking water services,population using surface water as a primary source of drinking water
AFG,2000,11.093327,16.34853,3.2992032,43.856777,25.402164
AFG,2001,11.105221,16.368359,3.2998827,43.843445,25.383093
AFG,2002,12.007733,17.66713,3.6071773,42.260395,24.457567
AFG,2003,12.909922,18.965668,3.9140716,40.67728,23.533058
AFG,2004,13.818684,20.275747,4.220617,39.086002,22.59895
AFG,2005,14.733853,21.597374,4.5264535,37.48635,21.655968
AFG,2006,15.648427,22.918694,4.8314023,35.886433,20.715044
AFG,2007,16.562523,24.52115,4.85422,34.286083,19.776024
AFG,2008,17.476011,26.156599,4.8428273,32.685455,18.839108
AFG,2009,18.388884,27.824879,4.797374,31.08455,17.904312
AFG,2010,19.30114,29.52583,4.7180095,29.483366,16.971657
AFG,2011,20.212885,31.259493,4.6048765,27.881748,16.041
AFG,2012,21.123997,33.025494,4.4581366,26.279846,15.112526
AFG,2013,22.03447,34.823673,4.2779446,24.677664,14.186251
AFG,2014,22.944302,36.65386,4.0644584,23.075191,13.262191
AFG,2015,23.85359,38.51607,3.8178253,21.472284,12.340232
AFG,2016,24.76222,40.409943,3.5382168,19.86909,11.420531
AFG,2017,25.671417,42.337456,3.2256842,18.263792,10.501653
AFG,2018,26.581314,44.298626,2.880409,16.65607,9.58358
AFG,2019,27.491734,46.292908,2.5026228,15.046062,8.666672
AFG,2020,28.402506,48.31975,2.092574,13.433906,7.7512655
AFG,2021,29.313843,50.379234,1.6505076,11.696816,6.959597
AFG,2022,30.034098,52.141273,1.1713909,10.477442,6.1757965
,2000,19.306862,28.483637,8.814207,25.892063,17.503231
,2001,19.609863,28.945612,9.0776415,25.246738,17.120144
,2002,20.06806,29.31386,9.303385,24.738127,16.576569
,2003,20.540802,29.668888,9.527734,24.2396,16.022978
,2004,21.073881,29.971193,9.749679,23.737923,15.467327
,2005,21.612398,30.276545,9.965551,23.231972,14.913534
,2006,22.179928,30.556803,10.17424,22.724173,14.364856
,2007,22.812088,30.778795,10.378028,22.21341,13.817679
,2008,23.482048,30.982046,10.577668,21.690933,13.267303
,2009,24.178427,31.163933,10.773339,21.165476,12.718825
,2010,24.904018,31.316841,10.964061,20.641964,12.173117
,2011,25.38758,31.53257,11.295788,20.046572,11.737492
,2012,26.165874,31.625658,11.4888735,19.531021,11.188573
,2013,26.96988,31.691938,11.678177,19.021702,10.638304
,2014,27.812178,31.72837,11.857495,18.511902,10.090054
