Code,Year,population using safely managed sanitation services,"population using only basic sanitation services, improved sanitation facilities which are not shared","population using limited sanitation services, improved sanitation facilities which are shared",population using unimproved sanitation facilities,population practicing open defecation
AFG,2000,,,5.495242,47.565353,25.968485
AFG,2001,,,5.505718,47.566265,25.94567
AFG,2002,,,5.873644,46.47149,25.113527
AFG,2003,,,6.2424483,45.37486,24.282358
AFG,2004,,,6.6192503,44.27527,23.43924
AFG,2005,,,7.004971,43.17103,22.584812
AFG,2006,,,7.3927674,42.062668,21.732298
AFG,2007,,,7.7018704,40.950096,20.881498
AFG,2008,,,8.005314,39.833324,20.032658
AFG,2009,,,8.302936,38.712315,19.185791
AFG,2010,,,8.594571,37.587044,18.340914
AFG,2011,,,8.880199,36.457382,17.497847
AFG,2012,,,9.15951,35.323376,16.65681
AFG,2013,,,9.432331,34.184994,15.817822
AFG,2014,,,9.698494,33.042206,14.980899
AFG,2015,,,9.957966,31.894848,14.145878
AFG,2016,,,10.21043,30.743006,13.3129635
AFG,2017,,,10.457374,29.584837,12.480174
AFG,2018,,,10.698836,28.329094,11.737925
AFG,2019,,,10.934415,27.052835,11.009269
AFG,2020,,,11.300604,25.76679,10.283605
AFG,2021,,,11.670708,24.469799,9.5609045
AFG,2022,,,12.044586,23.16162,8.841853
,2000,18.87684,6.2787843,15.133511,29.298939,30.411926
,2001,19.076805,6.3575315,15.377865,29.430786,29.757013
,2002,19.366491,6.50453,15.50739,29.563955,29.057632
,2003,19.655367,6.663283,15.624967,29.696623,28.35976
,2004,19.947477,6.82958,15.738808,29.823042,27.661093
,2005,20.270317,7.003053,15.879215,29.890768,26.956648
,2006,20.600803,7.1781363,16.014322,29.953793,26.252947
,2007,20.937014,7.3607883,16.145905,30.010084,25.54621
,2008,21.283224,7.550031,16.278923,30.05803,24.829794
,2009,21.616808,7.766434,16.409283,30.094185,24.113289
,2010,21.939575,8.001329,16.537075,30.12369,23.398329
,2011,22.109037,8.123331,16.540586,29.982754,23.244291
,2012,22.44694,8.345127,16.676037,29.990822,22.541077
,2013,22.787085,8.575578,16.808575,29.991917,21.83685
,2014,23.134699,8.8168335,16.941868,29.991713,21.11489
,2015,23.493273,9.064458,17.074303,29.984196,20.383772
,2016,23.821913,9.318492,17.206524,29.990505,19.662567
,2017,24.176521,9.5867195,17.352213,30.101095,18.783451
,2018,24.455753,9.771391,17.501701,30.165236,18.105917
,2019,24.75566,10.051404,17.611683,30.141685,17.439568
,2020,25.054947,10.309078,17.716116,30.13457,16.785288
,2021,25.341536,10.535691,17.772276,30.182276,16.16822
,2022,25.60288,10.794176,17.698938,30.018856,15.885149
ALB,2000,26.566858,62.921814,1.8272296,7.795246,0.8888528
ALB,2001,27.184067,62.84689,1.8385407,7.294108,0.83639705
ALB,2002,27.769495,62.836018,1.8506966,6.76189,0.7818988
ALB,2003,28.333334,62.832127,1.8625612,6.243789,0.728191
ALB,2004,28.8754,62.83525,1.8741318,5.7399364,0.67528075
ALB,2005,29.693571,62.629402,1.8030267,5.2508006,0.62319815
ALB,2006,30.525263,62.396145,1.7303993,4.7762566,0.5719348
ALB,2007,31.333492,62.172253,1.6562802,4.316474,0.52150035
ALB,2008,32.118214,61.9576,1.5807021,3.871582,0.47190285
ALB,2009,32.88006,61.751095,1.503696,3.4419813,0.42317
ALB,2010,33.61828,61.553883,1.425305,3.0272596,0.37527415
ALB,2011,34.33349,61.365005,1.345564,2.6277058,0.32823482
ALB,2012,35.02541,61.18486,1.264512,2.2431748,0.2820424
ALB,2013,37.18726,59.519302,1.1822028,1.8744726,0.23676229
ALB,2014,39.37208,57.81594,1.0986917,1.5209335,0.19235274
ALB,2015,41.580208,56.074757,1.0140369,1.1822025,0.14879678
ALB,2016,43.811172,54.296734,0.9282929,0.8577404,0.1060637
ALB,2017,46.064865,52.482433,0.8415142,0.5470615,0.0641266
ALB,2018,48.34123,50.63242,0.75375533,0.24636778,0.026230864
ALB,2019,50.48372,48.699352,0.6634244,0.15350677,0
ALB,2020,52.580948,46.717842,0.5719513,0.12925553,0
ALB,2021,54.45248,44.846554,0.56992626,0.13104029,0
ALB,2022,56.346493,42.952774,0.567965,0.13276887,0
DZA,2000,58.852875,25.627956,7.8851666,1.4000537,6.233949
