Code,Year,"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID
AFG,2000,1617.8264,
AFG,2001,1454.1108,
AFG,2002,1774.3087,
AFG,2003,1815.9282,
AFG,2004,1776.9182,
AFG,2005,1908.1147,
AFG,2006,1929.7239,
AFG,2007,2155.353,
AFG,2008,2191.5044,
AFG,2009,2565.022,
AFG,2010,2848.5862,
AFG,2011,2757.0525,
AFG,2012,2985.319,
AFG,2013,3046.5798,
AFG,2014,3017.9426,
AFG,2015,2967.6921,
AFG,2016,2958.7854,
AFG,2017,2952.999,
AFG,2018,2902.392,
AFG,2019,2927.245,
AFG,2020,2769.6858,
AFG,2021,2144.1665,
AFG,2022,1981.7102,
AFG,2023,1983.8126,Asia
ALB,1990,5560.538,
ALB,1991,4027.6746,
ALB,1992,3760.9397,
ALB,1993,4145.682,
ALB,1994,4517.5396,
ALB,1995,5151.102,
ALB,1996,5563.474,
ALB,1997,4942.7207,
ALB,1998,5387.2593,
ALB,1999,6085.6597,
ALB,2000,6581.639,
ALB,2001,7232.5757,
ALB,2002,7590.0547,
ALB,2003,8024.8213,
ALB,2004,8482.808,
ALB,2005,8963.804,
ALB,2006,9563.48,
ALB,2007,10262.378,
ALB,2008,11055.718,
ALB,2009,11429.967,
ALB,2010,11828.375,
ALB,2011,12152.417,
ALB,2012,12292.297,
ALB,2013,12525.081,
ALB,2014,12832.212,
ALB,2015,13156.332,
ALB,2016,13692.479,
ALB,2017,14155.04,
ALB,2018,14710.982,
ALB,2019,15078.507,
ALB,2020,14662.796,
ALB,2021,16126.777,
ALB,2022,17111.953,
ALB,2023,17991.016,Europe
ALB,2024,18919.807,
DZA,1990,11728.546,
DZA,1991,11314.864,
DZA,1992,11241.415,
DZA,1993,10743.706,
DZA,1994,10414.035,
DZA,1995,10588.443,
DZA,1996,10808.879,
DZA,1997,10725.968,
DZA,1998,11094.888,
DZA,1999,11292.037,
DZA,2000,11558.221,
DZA,2001,11742.595,
DZA,2002,12213.126,
DZA,2003,12835.182,
DZA,2004,13226.765,
DZA,2005,13738.496,
DZA,2006,13920.694,
DZA,2007,14114.675,
DZA,2008,14206.776,
DZA,2009,14104.428,
DZA,2010,14496.421,
DZA,2011,14641.964,
DZA,2012,14697.54,
DZA,2013,14778.191,
DZA,2014,15073.763,
DZA,2015,15239.518,
DZA,2016,15511.686,
DZA,2017,15427.664,
DZA,2018,15343.426,
DZA,2019,15199.199,
DZA,2020,14194.155,
DZA,2021,14496.865,
DZA,2022,14782.2,
DZA,2023,15159.324,Africa
DZA,2024,15442.124,
ASM,2023,,Oceania
AND,1990,50036.3,
AND,1991,47624.97,
AND,1992,45246.53,
AND,1993,42605.66,
AND,1994,42716.367,
AND,1995,44375.023,
AND,1996,46386.09,
AND,1997,50032.35,
AND,1998,51092.223,
AND,1999,52921.047,
AND,2000,54809.145,
AND,2001,59109.016,
AND,2002,61188.637,
AND,2003,63656.195,
AND,2004,64353.484,
AND,2005,65114.805,
AND,2006,66390.3,
AND,2007,65534.117,
AND,2008,60691.605,
AND,2009,57203.973,
AND,2010,58285.06,
AND,2011,60470.465,
AND,2012,58172.133,
AND,2013,57332.16,
AND,2014,59929.246,
AND,2015,62105.152,
AND,2016,64402.81,
AND,2017,63239.656,
AND,2018,63048.598,
AND,2019,63215.9,
AND,2020,55488.492,
AND,2021,59332.203,
AND,2022,63913.383,
AND,2023,64631.297,Europe
AND,2024,65928.305,
AGO,1990,7391.7524,
AGO,1991,7218.4414,
AGO,1992,6578.0684,
AGO,1993,4843.156,
AGO,1994,4751.4717,
AGO,1995,5284.703,
AGO,1996,5800.9624,
AGO,1997,6015.187,
AGO,1998,6090.0957,
AGO,1999,6021.229,
AGO,2000,6002.9893,
AGO,2001,6049.163,
AGO,2002,6645.4775,
AGO,2003,6609.215,
AGO,2004,7074.026,
AGO,2005,7845.89,
AGO,2006,8435.455,
AGO,2007,9263.98,
AGO,2008,9916.909,
AGO,2009,9629.092,
AGO,2010,9672.839,
AGO,2011,9627.0205,
AGO,2012,10051.34,
AGO,2013,10150.916,
AGO,2014,10250.593,
AGO,2015,9980.93,
AGO,2016,9381.81,
AGO,2017,9042.117,
AGO,2018,8620.215,
AGO,2019,8274.543,
AGO,2020,7556.968,
AGO,2021,7408.1265,
AGO,2022,7397.4863,
AGO,2023,7250.403,Africa
AGO,2024,7344.1455,
AIA,2023,,North America
ATG,1990,21074.576,
ATG,1991,21424.291,
ATG,1992,21330.273,
ATG,1993,22051.438,
ATG,1994,23081.664,
ATG,1995,21639.602,
ATG,1996,22597.314,
ATG,1997,23350.309,
ATG,1998,23996.115,
ATG,1999,24462.203,
ATG,2000,25547.611,
ATG,2001,24014.775,
ATG,2002,23958.164,
ATG,2003,25136.002,
ATG,2004,26303.617,
ATG,2005,27692.635,
ATG,2006,30827.342,
ATG,2007,33245.27,
ATG,2008,32756.307,
ATG,2009,28405.69,
ATG,2010,25826.61,
ATG,2011,25023.918,
ATG,2012,25592.906,
ATG,2013,25206.846,
ATG,2014,25557.525,
ATG,2015,25734.152,
ATG,2016,26627.715,
ATG,2017,27199.195,
ATG,2018,28878.607,
ATG,2019,29651.863,
ATG,2020,23930.672,
ATG,2021,25745.496,
ATG,2022,27941.785,
ATG,2023,28474.045,North America
ATG,2024,29561.807,
ARG,1990,17007.285,
ARG,1991,18295.61,
ARG,1992,19476.283,
ARG,1993,20791.346,
ARG,1994,21711.844,
ARG,1995,20819.5,
ARG,1996,21695.596,
ARG,1997,23172.158,
ARG,1998,23783.102,
ARG,1999,22714.512,
ARG,2000,22281.38,
ARG,2001,21066.459,
ARG,2002,18571.701,
ARG,2003,20005.139,
ARG,2004,21591.45,
ARG,2005,23262.408,
ARG,2006,24877.25,
ARG,2007,26850.664,
ARG,2008,27658.484,
ARG,2009,25747.197,
ARG,2010,28056.258,
ARG,2011,29425.76,
ARG,2012,28825.967,
ARG,2013,29227.66,
ARG,2014,28200.814,
ARG,2015,28669.207,
ARG,2016,27802.105,
ARG,2017,28334.904,
ARG,2018,27367.115,
ARG,2019,26629.553,
ARG,2020,23877.094,
ARG,2021,26300.273,
ARG,2022,27627.963,
ARG,2023,27104.98,South America
ARG,2024,26547.05,
ARM,1990,6137.6006,
ARM,1991,5326.753,
ARM,1992,3136.7244,
ARM,1993,2958.8804,
ARM,1994,3200.8965,
ARM,1995,3480.7559,
ARM,1996,3717.3357,
ARM,1997,3879.1794,
ARM,1998,4211.5127,
ARM,1999,4406.9673,
ARM,2000,4589.0083,
ARM,2001,5044.1167,
ARM,2002,5731.3535,
ARM,2003,6569.2603,
ARM,2004,7299.4,
ARM,2005,8362.9,
ARM,2006,9525.231,
ARM,2007,10898.849,
ARM,2008,11727.482,
ARM,2009,10143.235,
ARM,2010,10438.564,
ARM,2011,10990.177,
ARM,2012,11796.274,
ARM,2013,12194.019,
ARM,2014,12667.376,
ARM,2015,13112.76,
ARM,2016,13192.994,
ARM,2017,14243.875,
ARM,2018,15037.045,
ARM,2019,16215.36,
ARM,2020,15052.936,
ARM,2021,15921.705,
ARM,2022,17886.178,
ARM,2023,19402.752,Asia
ARM,2024,20078.785,
ABW,1990,34579.22,
ABW,1991,35552.086,
ABW,1992,35947.37,
ABW,1993,36124.305,
ABW,1994,37118.273,
ABW,1995,37009.65,
ABW,1996,35997.855,
ABW,1997,37070.01,
ABW,1998,36889.42,
ABW,1999,36842.957,
ABW,2000,39244.83,
ABW,2001,40505.53,
ABW,2002,39846.062,
ABW,2003,39832.58,
ABW,2004,41834.926,
ABW,2005,40608.82,
ABW,2006,40335.418,
ABW,2007,41272.28,
ABW,2008,41710.496,
ABW,2009,36590.56,
ABW,2010,35508.594,
ABW,2011,36435.555,
ABW,2012,35530.26,
ABW,2013,37255.35,
ABW,2014,36275.68,
ABW,2015,35682.3,
ABW,2016,36021.832,
ABW,2017,38558.004,
ABW,2018,39419.555,
ABW,2019,38435.426,
ABW,2020,28521.69,
ABW,2021,35696.31,
ABW,2022,38877.676,
ABW,2023,40516.81,North America
AUS,1990,36205.273,
AUS,1991,35610.08,
AUS,1992,35364.43,
AUS,1993,36469.67,
AUS,1994,37557.84,
AUS,1995,38585.17,
AUS,1996,39592.535,
AUS,1997,40699.117,
AUS,1998,42174.535,
AUS,1999,43813.004,
AUS,2000,45013.01,
AUS,2001,45338.684,
