Code,Year,"GDP, PPP (constant 2021 international $)"
AFG,2000,32567375969
AFG,2001,29495629513
AFG,2002,37931379899
AFG,2003,41281584746
AFG,2004,41865355064
AFG,2005,46566715049
AFG,2006,49061481753
AFG,2007,55844878995
AFG,2008,58036781460
AFG,2009,70451155676
AFG,2010,80569661676
AFG,2011,80913174277
AFG,2012,91231454557
AFG,2013,96341095375
AFG,2014,98965950294
AFG,2015,1.00402E+11
AFG,2016,1.02672E+11
AFG,2017,1.05389E+11
AFG,2018,1.06643E+11
AFG,2019,1.10814E+11
AFG,2020,1.08209E+11
AFG,2021,85767546197
AFG,2022,80415503801
AFG,2023,82238478027
ALB,1990,18274942062
ALB,1991,13157566898
ALB,1992,12211917972
ALB,1993,13379305484
ALB,1994,14490171370
ALB,1995,16420600300
ALB,1996,17625269553
ALB,1997,15561073193
ALB,1998,16854202298
ALB,1999,18918964811
ALB,2000,20330860426
ALB,2001,22132933135
ALB,2002,23157332899
ALB,2003,24392374658
ALB,2004,25676940952
ALB,2005,26994379069
ALB,2006,28619165681
ALB,2007,30479437955
ALB,2008,32584671726
ALB,2009,33461444277
ALB,2010,34456304689
ALB,2011,35305141557
ALB,2012,35652590004
ALB,2013,36261261117
ALB,2014,37073595662
ALB,2015,37899485663
ALB,2016,39380952118
ALB,2017,40673898060
ALB,2018,42167207396
ALB,2019,43036938897
ALB,2020,41610799594
ALB,2021,45343111967
ALB,2022,47531686192
ALB,2023,49402826580
ALB,2024,51360027803
DZA,1990,2.97621E+11
DZA,1991,2.9405E+11
DZA,1992,2.99343E+11
DZA,1993,2.93057E+11
DZA,1994,2.90419E+11
DZA,1995,3.01455E+11
DZA,1996,3.13815E+11
DZA,1997,3.17267E+11
DZA,1998,3.33447E+11
DZA,1999,3.44118E+11
DZA,2000,3.57194E+11
DZA,2001,3.6791E+11
DZA,2002,3.87777E+11
DZA,2003,4.12982E+11
DZA,2004,4.31567E+11
DZA,2005,4.54871E+11
DZA,2006,4.68063E+11
DZA,2007,4.82572E+11
DZA,2008,4.94637E+11
DZA,2009,5.00572E+11
DZA,2010,5.246E+11
DZA,2011,5.40338E+11
DZA,2012,5.53306E+11
DZA,2013,5.67692E+11
DZA,2014,5.90967E+11
DZA,2015,6.09878E+11
DZA,2016,6.33664E+11
DZA,2017,6.43169E+11
DZA,2018,6.52173E+11
DZA,2019,6.58042E+11
DZA,2020,6.2514E+11
DZA,2021,6.48896E+11
DZA,2022,6.72256E+11
DZA,2023,6.99818E+11
DZA,2024,7.22912E+11
AND,1990,2631759311
AND,1991,2698763996
AND,1992,2723841290
AND,1993,2695745293
AND,1994,2759989816
AND,1995,2836096580
AND,1996,2967967659
AND,1997,3237093233
AND,1998,3340511674
AND,1999,3477441884
AND,2000,3600138634
AND,2001,3892446768
AND,2002,4069411497
AND,2003,4423214423
AND,2004,4783072832
AND,2005,5041253346
AND,2006,5283671526
AND,2007,5365736885
AND,2008,5067445572
AND,2009,4798726709
AND,2010,4703953872
AND,2011,4703574275
AND,2012,4469597620
AND,2013,4311034330
AND,2014,4419002699
AND,2015,4482377402
AND,2016,4648659173
AND,2017,4664746876
AND,2018,4738858764
AND,2019,4834372720
AND,2020,4293699379
AND,2021,4649508748
AND,2022,5094216232
AND,2023,5225828100
AND,2024,5402033635
AGO,1990,85939173894
AGO,1991,86791139889
AGO,1992,81724029491
AGO,1993,62123814347
AGO,1994,62955878002
AGO,1995,72399259721
AGO,1996,82205283157
AGO,1997,88185123454
AGO,1998,92322016743
AGO,1999,94336012046
AGO,2000,97217622732
AGO,2001,1.01307E+11
AGO,2002,1.15151E+11
AGO,2003,1.18594E+11
AGO,2004,1.3158E+11
AGO,2005,1.51356E+11
AGO,2006,1.68838E+11
AGO,2007,1.92492E+11
AGO,2008,2.13994E+11
AGO,2009,2.15834E+11
AGO,2010,2.25327E+11
AGO,2011,2.33151E+11
AGO,2012,2.53067E+11
AGO,2013,2.65605E+11
AGO,2014,2.78414E+11
AGO,2015,2.81041E+11
AGO,2016,2.7379E+11
AGO,2017,2.73387E+11
AGO,2018,2.69788E+11
AGO,2019,2.67894E+11
AGO,2020,2.52789E+11
AGO,2021,2.55821E+11
AGO,2022,2.6361E+11
AGO,2023,2.66452E+11
AGO,2024,2.78239E+11
ATG,1990,1329089237
ATG,1991,1358021545
ATG,1992,1373754914
ATG,1993,1446287619
ATG,1994,1542847660
ATG,1995,1475582825
ATG,1996,1573044257
ATG,1997,1659109532
ATG,1998,1737606636
ATG,1999,1802032675
ATG,2000,1913822712
ATG,2001,1826779954
ATG,2002,1845545274
ATG,2003,1957692355
ATG,2004,2070594497
ATG,2005,2204638354
ATG,2006,2484807048
ATG,2007,2716271365
ATG,2008,2715890908
ATG,2009,2390992152
ATG,2010,2203526249
ATG,2011,2160364841
ATG,2012,2233237030
ATG,2013,2219815671
ATG,2014,2268613698
ATG,2015,2300864764
ATG,2016,2395668849
ATG,2017,2460656794
ATG,2018,2625816198
ATG,2019,2709112916
ATG,2020,2197936454
ATG,2021,2377570792
ATG,2022,2594115333
ATG,2023,2657083928
ATG,2024,2772069805
ARG,1990,5.57089E+11
ARG,1991,6.07968E+11
ARG,1992,6.56225E+11
ARG,1993,7.10081E+11
ARG,1994,7.51523E+11
ARG,1995,7.3014E+11
ARG,1996,7.70493E+11
ARG,1997,8.32988E+11
ARG,1998,8.65059E+11
