Code,Year,Gini coefficient (2021 prices),World regions according to OWID
AFG,2023,,Asia
ALA,2023,,Europe
ALB,1996,0.27010342,
ALB,2002,0.3173898,
ALB,2005,0.30595654,
ALB,2008,0.2998467,
ALB,2012,0.28960484,
ALB,2014,0.34598896,
ALB,2015,0.32753733,
ALB,2016,0.33736297,
ALB,2017,0.33055663,
ALB,2018,0.30148283,
ALB,2019,0.30115768,
ALB,2020,0.2941963,
ALB,2023,,Europe
DZA,1988,0.37356994,
DZA,1995,0.35330054,
DZA,2011,0.27615732,
DZA,2023,,Africa
ASM,2023,,Oceania
AND,2023,,Europe
AGO,2000,0.5194515,
AGO,2008,0.42715514,
AGO,2018,0.51264286,
AGO,2023,,Africa
AIA,2023,,North America
ATG,2023,,North America
ARG,2023,,South America
,1980,0.4083086,
,1986,0.42797506,
,1987,0.4526729,
,1991,0.46754274,
,1992,0.45454842,
,1993,0.44843096,
,1994,0.4589804,
,1995,0.48878098,
,1996,0.49490517,
,1997,0.49085242,
,1998,0.50712705,
,1999,0.49765623,
,2000,0.5103796,
,2001,0.5329304,
,2002,0.5375955,
,2003,0.50994456,
,2004,0.48483533,
,2005,0.47810286,
,2006,0.46444497,
,2007,0.46282586,
,2008,0.44986764,
,2009,0.43758938,
,2010,0.43676555,
,2011,0.4273792,
,2012,0.41437364,
,2013,0.4108646,
,2014,0.41822484,
,2016,0.42345008,
,2017,0.41434798,
,2018,0.4171897,
,2019,0.43314135,
,2020,0.42743686,
,2021,0.4244556,
,2022,0.4073646,
,2023,0.42390975,
,2024,0.42353317,
ARM,1999,0.36219725,
ARM,2001,0.3536436,
ARM,2002,0.34779674,
ARM,2003,0.33028087,
ARM,2004,0.37505633,
ARM,2005,0.35992354,
ARM,2006,0.29709986,
ARM,2007,0.31226057,
ARM,2008,0.2918814,
ARM,2009,0.2801588,
ARM,2010,0.29992583,
ARM,2011,0.29352945,
ARM,2012,0.29602262,
ARM,2013,0.30579662,
ARM,2014,0.3148329,
ARM,2015,0.32356772,
ARM,2016,0.32547948,
ARM,2017,0.3362184,
ARM,2018,0.344335,
ARM,2019,0.30031213,
ARM,2020,0.25131604,
ARM,2021,0.2794013,
ARM,2022,0.27945295,
ARM,2023,0.2715465,Asia
ABW,2023,,North America
AUS,1981,0.31324694,
AUS,1985,0.3249635,
AUS,1989,0.33151868,
AUS,1995,0.325785,
AUS,2001,0.33461928,
AUS,2003,0.3349675,
AUS,2004,0.3305572,
AUS,2008,0.3542851,
AUS,2010,0.34656727,
AUS,2014,0.34398162,
AUS,2016,0.33685187,
AUS,2018,0.34332526,
AUS,2020,0.33829018,
