Code,Year,Political corruption index (central estimate),World regions according to OWID
AFG,1789,0.428,
AFG,1790,0.428,
AFG,1791,0.428,
AFG,1792,0.428,
AFG,1793,0.428,
AFG,1794,0.428,
AFG,1795,0.428,
AFG,1796,0.428,
AFG,1797,0.428,
AFG,1798,0.428,
AFG,1799,0.428,
AFG,1800,0.428,
AFG,1801,0.428,
AFG,1802,0.428,
AFG,1803,0.428,
AFG,1804,0.428,
AFG,1805,0.428,
AFG,1806,0.428,
AFG,1807,0.428,
AFG,1808,0.428,
AFG,1809,0.428,
AFG,1810,0.428,
AFG,1811,0.428,
AFG,1812,0.428,
AFG,1813,0.428,
AFG,1814,0.428,
AFG,1815,0.428,
AFG,1816,0.428,
AFG,1817,0.428,
AFG,1818,0.428,
AFG,1819,0.428,
AFG,1820,0.428,
AFG,1821,0.428,
AFG,1822,0.428,
AFG,1823,0.428,
AFG,1824,0.428,
AFG,1825,0.428,
AFG,1826,0.428,
AFG,1827,0.428,
AFG,1828,0.428,
AFG,1829,0.428,
AFG,1830,0.428,
AFG,1831,0.428,
AFG,1832,0.428,
AFG,1833,0.428,
AFG,1834,0.428,
AFG,1835,0.428,
AFG,1836,0.428,
AFG,1837,0.428,
AFG,1838,0.428,
AFG,1839,0.428,
AFG,1840,0.428,
AFG,1841,0.428,
AFG,1842,0.428,
AFG,1843,0.428,
AFG,1844,0.428,
AFG,1845,0.428,
AFG,1846,0.428,
AFG,1847,0.428,
AFG,1848,0.428,
AFG,1849,0.428,
AFG,1850,0.428,
AFG,1851,0.428,
AFG,1852,0.428,
AFG,1853,0.428,
AFG,1854,0.428,
AFG,1855,0.428,
AFG,1856,0.428,
AFG,1857,0.428,
AFG,1858,0.428,
AFG,1859,0.428,
AFG,1860,0.428,
AFG,1861,0.428,
AFG,1862,0.428,
AFG,1863,0.428,
AFG,1864,0.428,
AFG,1865,0.428,
AFG,1866,0.428,
AFG,1867,0.428,
AFG,1868,0.428,
AFG,1869,0.428,
AFG,1870,0.428,
AFG,1871,0.428,
AFG,1872,0.428,
AFG,1873,0.428,
AFG,1874,0.428,
AFG,1875,0.428,
AFG,1876,0.428,
AFG,1877,0.428,
AFG,1878,0.428,
AFG,1879,0.428,
AFG,1880,0.494,
AFG,1881,0.494,
AFG,1882,0.494,
AFG,1883,0.494,
AFG,1884,0.494,
AFG,1885,0.494,
AFG,1886,0.494,
AFG,1887,0.494,
AFG,1888,0.494,
AFG,1889,0.494,
