Code,Year,Population - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: medium
AFG,1950,7776180,
AFG,1951,7879343,
AFG,1952,7987784,
AFG,1953,8096703,
AFG,1954,8207954,
AFG,1955,8326981,
AFG,1956,8454303,
AFG,1957,8588340,
AFG,1958,8723412,
AFG,1959,8869270,
AFG,1960,9035048,
AFG,1961,9214082,
AFG,1962,9404410,
AFG,1963,9604491,
AFG,1964,9814317,
AFG,1965,10036003,
AFG,1966,10266397,
AFG,1967,10505961,
AFG,1968,10756924,
AFG,1969,11017417,
AFG,1970,11290134,
AFG,1971,11567672,
AFG,1972,11853698,
AFG,1973,12158000,
AFG,1974,12469127,
AFG,1975,12773966,
AFG,1976,13059861,
AFG,1977,13340758,
AFG,1978,13611444,
AFG,1979,13655575,
AFG,1980,13169313,
AFG,1981,11937586,
AFG,1982,10991380,
AFG,1983,10917985,
AFG,1984,11190222,
AFG,1985,11426855,
AFG,1986,11420074,
AFG,1987,11387822,
AFG,1988,11523299,
AFG,1989,11874089,
AFG,1990,12045664,
AFG,1991,12238879,
AFG,1992,13278983,
AFG,1993,14943175,
AFG,1994,16250800,
AFG,1995,17065837,
AFG,1996,17763266,
AFG,1997,18452100,
AFG,1998,19159996,
AFG,1999,19887792,
AFG,2000,20130334,
AFG,2001,20284303,
AFG,2002,21378123,
AFG,2003,22733053,
AFG,2004,23560656,
AFG,2005,24404575,
AFG,2006,25424100,
AFG,2007,25909852,
AFG,2008,26482631,
AFG,2009,27466102,
AFG,2010,28284088,
AFG,2011,29347708,
AFG,2012,30560036,
AFG,2013,31622709,
AFG,2014,32792528,
AFG,2015,33831767,
AFG,2016,34700613,
AFG,2017,35688941,
AFG,2018,36743040,
AFG,2019,37856125,
AFG,2020,39068977,
AFG,2021,40000410,
AFG,2022,40578847,
AFG,2023,41454762,
AFG,2024,,42647502
AFG,2025,,43844116
AFG,2026,,45047067
AFG,2027,,46258913
AFG,2028,,47470571
AFG,2029,,48725719
AFG,2030,,50039404
AFG,2031,,51376002
AFG,2032,,52707848
AFG,2033,,54044254
AFG,2034,,55359464
AFG,2035,,56647234
AFG,2036,,57953665
AFG,2037,,59279039
AFG,2038,,60597844
AFG,2039,,61944474
AFG,2040,,63347877
AFG,2041,,64738850
AFG,2042,,66060222
AFG,2043,,67375164
AFG,2044,,68703966
AFG,2045,,70021200
AFG,2046,,71384699
AFG,2047,,72756306
AFG,2048,,74109735
AFG,2049,,75515605
AFG,2050,,76885136
AFG,2051,,78155058
AFG,2052,,79457287
AFG,2053,,80821888
AFG,2054,,82196806
AFG,2055,,83578886
AFG,2056,,84980654
AFG,2057,,86393653
AFG,2058,,87773546
AFG,2059,,89081741
AFG,2060,,90362734
AFG,2061,,91633727
AFG,2062,,92931632
AFG,2063,,94276120
AFG,2064,,95639084
AFG,2065,,97024252
AFG,2066,,98338762
AFG,2067,,99577253
AFG,2068,,100850617
AFG,2069,,102132888
AFG,2070,,103416642
AFG,2071,,104657101
AFG,2072,,105836157
AFG,2073,,107063249
AFG,2074,,108265524
AFG,2075,,109352874
AFG,2076,,110399883
AFG,2077,,111475827
AFG,2078,,112514314
AFG,2079,,113583424
AFG,2080,,114673793
AFG,2081,,115634319
AFG,2082,,116516233
AFG,2083,,117378534
AFG,2084,,118292970
AFG,2085,,119224276
AFG,2086,,120043236
AFG,2087,,120858254
AFG,2088,,121694041
AFG,2089,,122483525
AFG,2090,,123304494
AFG,2091,,124110008
AFG,2092,,124854169
AFG,2093,,125589410
AFG,2094,,126306884
AFG,2095,,126990147
AFG,2096,,127647762
AFG,2097,,128305491
AFG,2098,,128964754
AFG,2099,,129616115
AFG,2100,,130216736
,1950,227776420,
,1951,232556973,
,1952,237539543,
,1953,242685066,
,1954,248005819,
,1955,253537849,
,1956,259271438,
,1957,265128663,
,1958,271041740,
,1959,277271605,
,1960,283921952,
,1961,290813749,
,1962,297959634,
,1963,305371042,
,1964,313060397,
,1965,321013252,
,1966,329251993,
,1967,337850713,
,1968,346800642,
,1969,356032259,
,1970,365551873,
,1971,375326099,
,1972,385311885,
,1973,395821649,
,1974,406869977,
,1975,418433158,
,1976,430496629,
,1977,442660134,
,1978,455538926,
,1979,469198177,
,1980,483051385,
,1981,497620643,
,1982,512958548,
,1983,528232408,
,1984,543637779,
