Code,Year,Public social expenditure as a share of GDP
AUS,1910,1.12
AUS,1920,1.66
AUS,1930,2.11
AUS,1960,5.916265
AUS,1961,6.3186784
AUS,1962,6.2705703
AUS,1963,6.1847687
AUS,1964,5.962785
AUS,1965,6.045809
AUS,1966,5.9078026
AUS,1967,5.6395383
AUS,1968,5.662996
AUS,1969,5.835353
AUS,1970,5.9003363
AUS,1971,6.196675
AUS,1972,6.6230793
AUS,1973,6.9961514
AUS,1974,8.378857
AUS,1975,10.1352005
AUS,1976,10.5726385
AUS,1977,10.896706
AUS,1978,10.613026
AUS,1979,10.272347
AUS,1980,10.244
AUS,1981,10.116
AUS,1982,11.09
AUS,1983,11.591
AUS,1984,11.97
AUS,1985,12.062
AUS,1986,11.897
AUS,1987,12.151
AUS,1988,11.446
AUS,1989,11.584
AUS,1990,13.118
AUS,1991,14.28
AUS,1992,15.257
AUS,1993,15.516
AUS,1994,15.242
AUS,1995,16.88
AUS,1996,16.998
AUS,1997,16.765
AUS,1998,17.588
AUS,1999,17.225
AUS,2000,18.21
AUS,2001,17.509
AUS,2002,17.314
AUS,2003,17.498
AUS,2004,17.197
AUS,2005,16.66
AUS,2006,15.699
AUS,2007,15.858
AUS,2008,17.05
AUS,2009,16.853
AUS,2010,16.553
AUS,2011,17.02
AUS,2012,17.308
AUS,2013,17.263
AUS,2014,17.804
AUS,2015,18.207
AUS,2016,17.476
AUS,2017,17.077
AUS,2018,16.638
AUS,2019,20.451
AUT,1930,1.2
AUT,1960,14.955679
AUT,1961,14.963559
AUT,1962,15.862862
AUT,1963,16.255716
AUT,1964,16.21699
AUT,1965,16.42542
AUT,1966,16.66501
AUT,1967,17.466341
AUT,1968,17.004122
AUT,1969,17.841679
AUT,1970,17.797773
AUT,1971,17.941856
AUT,1972,17.79107
AUT,1973,17.637253
AUT,1974,18.095798
AUT,1975,19.742004
AUT,1976,20.443579
AUT,1977,20.444609
AUT,1978,22.073421
AUT,1979,22.020512
AUT,1980,21.906
AUT,1981,22.483408
AUT,1985,23.205
AUT,1990,23.263
AUT,1991,23.584
AUT,1992,24.276
AUT,1993,25.675
AUT,1994,26.614
AUT,1995,26.556
AUT,1996,26.678
AUT,1997,26.18
AUT,1998,25.98
AUT,1999,26.329
AUT,2000,26.043
AUT,2001,26.092
AUT,2002,26.396
AUT,2003,26.933
AUT,2004,26.719
AUT,2005,26.337
AUT,2006,26.063
AUT,2007,25.477
AUT,2008,25.947
AUT,2009,27.957
AUT,2010,28.052
AUT,2011,27.231
AUT,2012,27.611
AUT,2013,28.031
AUT,2014,28.255
AUT,2015,28.261
AUT,2016,28.197
AUT,2017,27.826
AUT,2018,27.561
AUT,2019,27.708
AUT,2020,31.108
AUT,2021,31.061
AUT,2022,29.356
BEL,1880,0.17
BEL,1890,0.22
BEL,1900,0.26
BEL,1910,0.43
BEL,1920,0.52
BEL,1930,0.56
BEL,1960,10.073508
BEL,1961,10.545173
BEL,1962,11.049902
BEL,1963,11.47631
BEL,1964,11.489252
BEL,1965,12.306952
BEL,1966,13.053801
BEL,1967,13.455044
BEL,1968,14.482375
BEL,1969,14.4946785
BEL,1970,14.7617855
BEL,1971,15.046238
BEL,1972,15.949143
BEL,1973,16.369476
BEL,1974,16.981936
BEL,1975,20.499475
BEL,1976,21.494461
BEL,1977,22.670286
BEL,1978,22.939167
BEL,1979,23.129791
BEL,1980,23.202
BEL,1981,24.752
BEL,1982,25.35
BEL,1983,25.634
BEL,1984,24.852
BEL,1985,25.689
BEL,1986,25.518
BEL,1987,25.289
BEL,1988,25.107
BEL,1989,24.262
BEL,1990,24.57
BEL,1991,25.335
BEL,1992,24.346
BEL,1993,25.4
BEL,1994,24.801
BEL,1995,25.304
BEL,1996,25.935
BEL,1997,24.929
BEL,1998,24.929
BEL,1999,24.73
BEL,2000,23.655
BEL,2001,24.123
BEL,2002,24.504
BEL,2003,25.061
BEL,2004,24.826
BEL,2005,24.685
BEL,2006,24.595
BEL,2007,24.339
BEL,2008,25.745
BEL,2009,27.979
BEL,2010,27.666
BEL,2011,28.101
BEL,2012,27.962
BEL,2013,28.34
BEL,2014,28.394
BEL,2015,29.055
BEL,2016,28.426
BEL,2017,28.275
BEL,2018,28.355
BEL,2019,28.218
BEL,2020,32.28
BEL,2021,29.705
BEL,2022,28.965
CAN,1880,0
CAN,1890,0
CAN,1900,0
CAN,1910,0
CAN,1920,0.06
CAN,1930,0.31
CAN,1960,8.021343
CAN,1961,8.296839
CAN,1962,8.258081
CAN,1963,8.191873
CAN,1964,8.0992565
CAN,1965,7.8435144
CAN,1966,7.979699
CAN,1967,8.724612
CAN,1968,9.257986
CAN,1969,9.605425
CAN,1970,10.359873
CAN,1971,11.233394
CAN,1972,11.985065
CAN,1973,11.998975
CAN,1974,12.384915
CAN,1975,13.514089
CAN,1976,13.215704
CAN,1977,13.433996
CAN,1978,13.235043
CAN,1979,12.7479925
CAN,1980,13.148
CAN,1981,13.622
CAN,1982,15.918
CAN,1983,16.088
CAN,1984,15.789
CAN,1985,16.262
CAN,1986,16.202
CAN,1987,15.924
CAN,1988,15.726
CAN,1989,16.091
CAN,1990,17.391
CAN,1991,19.612
CAN,1992,20.261
CAN,1993,20.198
CAN,1994,19.111
CAN,1995,18.209
CAN,1996,17.405
CAN,1997,16.786
CAN,1998,16.87
CAN,1999,15.883
CAN,2000,15.592
CAN,2001,16.02
CAN,2002,16.029
CAN,2003,16.099
CAN,2004,16.098
CAN,2005,15.953
CAN,2006,16.346
CAN,2007,16.264
CAN,2008,16.352
CAN,2009,18.085
CAN,2010,17.6
CAN,2011,17.093
CAN,2012,17.222
CAN,2013,16.986
CAN,2014,16.913
CAN,2015,17.934
CAN,2016,18.296
CAN,2017,18.029
CAN,2018,18.004
CAN,2019,18.784
CAN,2020,24.911
CHL,1987,11.743
CHL,1988,10.444
CHL,1989,9.853
CHL,1990,9.726
CHL,1991,9.707
CHL,1992,9.272
CHL,1993,9.388
CHL,1994,9.129
CHL,1995,10.897
CHL,1996,11.784
CHL,1997,11.477
CHL,1998,11.845
CHL,1999,12.635
CHL,2000,10.346
CHL,2001,10.042
CHL,2002,10.075
CHL,2003,9.922
CHL,2004,9.302
CHL,2005,8.918
CHL,2006,8.308
CHL,2007,8.482
CHL,2008,9.619
CHL,2009,11.555
CHL,2010,10.643
CHL,2011,10.153
CHL,2012,10.208
CHL,2013,10.159
CHL,2014,10.43
CHL,2015,10.963
CHL,2016,11.19
CHL,2017,11.478
CHL,2018,11.454
CHL,2019,11.706
CHL,2020,15.061
CHL,2021,19.605
COL,2010,12.992
COL,2011,12.681
COL,2012,12.625
COL,2013,13.191
COL,2014,14.111
COL,2015,14.545
COL,2016,14.147
COL,2017,14.112
COL,2018,13.688
COL,2019,14.126
COL,2020,17.02
COL,2021,15.153
CRI,2011,12.346
CRI,2012,12.029
CRI,2013,12.497
CRI,2014,12.279
CRI,2015,12.581
CRI,2016,12.271
CRI,2017,12.153
CRI,2018,12.484
CRI,2019,12.306
CRI,2020,14.457
CZE,1990,14.025
CZE,1991,15.077
CZE,1992,15.349
CZE,1993,15.616
