Code,Year,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)
AFG,2002,9.44339
AFG,2003,8.94126
AFG,2004,9.80847
AFG,2005,9.94829
AFG,2006,10.62277
AFG,2007,9.90467
AFG,2008,10.2565
AFG,2009,9.81849
AFG,2010,8.56967
AFG,2011,8.56191
AFG,2012,7.89717
AFG,2013,8.80596
AFG,2014,9.52888
AFG,2015,10.10535
AFG,2016,11.81859
AFG,2017,12.62082
AFG,2018,14.20842
AFG,2019,14.83132
AFG,2020,15.53361
AFG,2021,21.50846
AFG,2022,23.08817
,2000,4.32165
,2001,4.5095
,2002,4.58372
,2003,4.79455
,2004,4.99369
,2005,4.98905
,2006,5.03215
,2007,4.96393
,2008,4.9053
,2009,5.25066
,2010,5.27099
,2011,5.18637
,2012,5.08285
,2013,5.29298
,2014,5.45448
,2015,5.51258
,2016,5.47735
,2017,5.51074
,2018,5.28805
,2019,5.46429
,2020,5.85015
,2021,5.72556
,2022,5.6009
ALB,2000,5.9442
ALB,2001,5.92585
ALB,2002,5.66464
ALB,2003,5.91141
ALB,2004,5.89365
ALB,2005,5.72955
ALB,2006,5.63177
ALB,2007,5.92609
ALB,2008,5.509
ALB,2009,5.82604
ALB,2010,6.23668
ALB,2011,6.18298
ALB,2012,6.15746
ALB,2013,6.28286
ALB,2014,6.43451
ALB,2015,6.46412
ALB,2016,6.72933
ALB,2017,6.57849
ALB,2018,6.66845
ALB,2019,6.86214
ALB,2020,7.50389
ALB,2021,7.39913
ALB,2022,6.19368
DZA,2000,3.21485
DZA,2001,3.53629
DZA,2002,3.4417
DZA,2003,3.32569
DZA,2004,3.29031
DZA,2005,3.11886
DZA,2006,3.19
DZA,2007,3.62011
DZA,2008,3.98331
DZA,2009,4.89211
DZA,2010,4.64001
DZA,2011,4.82568
DZA,2012,5.63658
DZA,2013,5.64542
DZA,2014,6.01485
DZA,2015,6.33435
DZA,2016,6.0008
DZA,2017,5.94846
DZA,2018,5.93239
DZA,2019,5.41731
DZA,2020,5.63832
DZA,2021,5.01106
DZA,2022,3.62304
,2000,5.75352
,2001,5.82156
,2002,5.95289
,2003,5.98018
,2004,5.95478
,2005,6.02551
,2006,6.02301
,2007,6.19868
,2008,6.32538
,2009,6.70689
,2010,6.66367
,2011,6.6867
,2012,6.65575
,2013,6.66016
,2014,6.73606
,2015,6.94034
,2016,6.99093
,2017,6.96259
,2018,6.9041
,2019,6.99964
,2020,7.79614
,2021,7.76048
,2022,7.32196
AND,2000,5.95276
AND,2001,5.85824
AND,2002,5.99621
AND,2003,5.54772
AND,2004,5.28847
AND,2005,5.59477
AND,2006,4.9653
AND,2007,4.92347
AND,2008,5.67066
AND,2009,6.08094
AND,2010,7.67538
AND,2011,7.62061
AND,2012,6.71084
AND,2013,6.79964
AND,2014,6.77308
AND,2015,6.91586
AND,2016,6.90522
AND,2017,7.07143
AND,2018,7.37542
AND,2019,7.32325
AND,2020,8.78674
AND,2021,8.33451
AND,2022,7.53679
AGO,2000,1.9086
AGO,2001,4.48352
AGO,2002,3.32946
AGO,2003,3.54797
AGO,2004,3.9672
AGO,2005,2.8522
AGO,2006,2.68554
AGO,2007,2.97439
AGO,2008,3.3229
AGO,2009,3.84261
AGO,2010,2.6951
AGO,2011,2.64561
AGO,2012,2.39575
AGO,2013,2.73283
AGO,2014,2.43413
AGO,2015,2.60579
AGO,2016,2.71315
AGO,2017,2.79384
AGO,2018,2.59482
AGO,2019,2.47519
AGO,2020,3.27488
AGO,2021,3.09277
AGO,2022,2.92738
ATG,2000,4.71543
ATG,2001,5.43839
ATG,2002,5.28794
ATG,2003,5.58143
ATG,2004,5.11668
ATG,2005,4.99094
ATG,2006,4.63051
ATG,2007,4.4461
ATG,2008,4.20027
ATG,2009,4.17733
ATG,2010,5.37907
ATG,2011,5.44257
ATG,2012,5.47921
ATG,2013,5.50909
ATG,2014,5.8727
ATG,2015,5.27966
ATG,2016,5.1219
ATG,2017,4.87494
ATG,2018,4.85205
ATG,2019,4.40662
ATG,2020,5.72945
ATG,2021,4.99197
ATG,2022,5.72999
ARG,2000,8.22001
ARG,2001,8.3718
ARG,2002,7.39331
ARG,2003,6.89452
ARG,2004,7.22868
ARG,2005,7.61079
ARG,2006,7.64033
ARG,2007,7.83455
ARG,2008,8.1827
ARG,2009,9.456
ARG,2010,9.44546
ARG,2011,9.4182
ARG,2012,9.82727
ARG,2013,9.78098
ARG,2014,9.6713
ARG,2015,10.22934
ARG,2016,9.85559
ARG,2017,10.23175
ARG,2018,10.29147
ARG,2019,10.15551
ARG,2020,10.45031
ARG,2021,10.03832
ARG,2022,9.86305
ARM,2000,4.19581
ARM,2001,4.64564
ARM,2002,7.61359
ARM,2003,7.17936
ARM,2004,6.0551
ARM,2005,5.86188
ARM,2006,5.85007
ARM,2007,5.49814
ARM,2008,6.63977
ARM,2009,8.44378
ARM,2010,9.23538
ARM,2011,9.37589
ARM,2012,9.13455
ARM,2013,10.32345
ARM,2014,10.17828
ARM,2015,10.11763
ARM,2016,9.95195
ARM,2017,10.3627
ARM,2018,10.00543
ARM,2019,11.3798
ARM,2020,12.24056
ARM,2021,12.32269
ARM,2022,9.96213
AUS,2000,7.58869
AUS,2001,7.67392
AUS,2002,7.87221
AUS,2003,7.8766
AUS,2004,8.08258
AUS,2005,7.96486
AUS,2006,7.97161
AUS,2007,8.05171
AUS,2008,8.24737
AUS,2009,8.54235
AUS,2010,8.41878
AUS,2011,8.5336
AUS,2012,8.66923
AUS,2013,8.74458
AUS,2014,9.8249
AUS,2015,10.17368
AUS,2016,10.08973
AUS,2017,10.11242
AUS,2018,10.05163
AUS,2019,10.21285
AUS,2020,10.6604
AUS,2021,10.42525
AUS,2022,9.92688
AUT,2000,9.20371
AUT,2001,9.26943
AUT,2002,9.39476
AUT,2003,9.54724
AUT,2004,9.7094
AUT,2005,9.62703
AUT,2006,9.53113
AUT,2007,9.5321
AUT,2008,9.72565
AUT,2009,10.22583
AUT,2010,10.22102
AUT,2011,10.02613
AUT,2012,10.19916
AUT,2013,10.28575
AUT,2014,10.36809
AUT,2015,10.36747
AUT,2016,10.35226
AUT,2017,10.38403
AUT,2018,10.34886
AUT,2019,10.48754
AUT,2020,11.31641
AUT,2021,12.15229
AUT,2022,11.15729
AZE,2000,2.89007
AZE,2001,2.77419
AZE,2002,2.73097
AZE,2003,2.72699
AZE,2004,2.65944
AZE,2005,2.22961
AZE,2006,2.07059
AZE,2007,1.99422
AZE,2008,2.04814
AZE,2009,2.76541
AZE,2010,2.64635
AZE,2011,2.59547
AZE,2012,3.15682
AZE,2013,3.22551
AZE,2014,3.58703
AZE,2015,4.34131
AZE,2016,4.42242
AZE,2017,4.07397
AZE,2018,3.83661
AZE,2019,4.18189
AZE,2020,5.84818
AZE,2021,4.68527
AZE,2022,3.97841
BHS,2000,3.80487
BHS,2001,3.92441
BHS,2002,3.81252
BHS,2003,4.01999
BHS,2004,4.04628
BHS,2005,4.03196
BHS,2006,4.30936
BHS,2007,4.49599
BHS,2008,4.86262
BHS,2009,5.15001
BHS,2010,5.25594
BHS,2011,5.32399
BHS,2012,5.31909
BHS,2013,5.68466
BHS,2014,5.62926
BHS,2015,5.24419
BHS,2016,5.71207
BHS,2017,6.75127
BHS,2018,6.02688
BHS,2019,5.86801
BHS,2020,7.59303
BHS,2021,7.00575
BHS,2022,7.21692
BHR,2000,3.33543
BHR,2001,3.48573
BHR,2002,3.67866
